epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,1730.72,1.39923,1.6407,1.70363,0.56285,0.39581,0.42429,0.17799,2.17566,2.1236,2.49326,0.000165095,0.000165095,0.000165095
88,1750.44,1.44194,1.68974,1.74304,0.48641,0.4146,0.40507,0.16508,2.19911,2.17884,2.51226,0.000154096,0.000154096,0.000154096
89,1770.59,1.41098,1.65109,1.73056,0.49447,0.47601,0.43939,0.18028,2.18135,2.11272,2.51287,0.000143097,0.000143097,0.000143097
90,1790.46,1.44371,1.69678,1.73665,0.47736,0.44755,0.41029,0.17244,2.18099,2.21681,2.5061,0.000132098,0.000132098,0.000132098
91,1830.94,1.53207,1.74977,1.9169,0.52484,0.42542,0.40847,0.16741,2.19554,2.15305,2.51353,0.000121099,0.000121099,0.000121099
92,1851.13,1.48929,1.6907,1.88974,0.52262,0.35988,0.38101,0.15725,2.21128,2.19259,2.51221,0.0001101,0.0001101,0.0001101
93,1871.29,1.46208,1.63282,1.85909,0.588,0.37537,0.40217,0.16587,2.21392,2.16442,2.52444,9.91012e-05,9.91012e-05,9.91012e-05
94,1891.26,1.44191,1.58705,1.85061,0.5215,0.4089,0.40776,0.1671,2.21853,2.17437,2.52333,8.81023e-05,8.81023e-05,8.81023e-05
95,1911.31,1.4305,1.55826,1.82357,0.48359,0.4177,0.39975,0.17173,2.22492,2.16933,2.52874,7.71034e-05,7.71034e-05,7.71034e-05
96,1931.21,1.42776,1.58619,1.84009,0.49477,0.41678,0.40994,0.17573,2.21706,2.13806,2.5181,6.61045e-05,6.61045e-05,6.61045e-05
97,1951.3,1.41027,1.57258,1.8234,0.55153,0.39759,0.40937,0.17414,2.20289,2.16149,2.51497,5.51056e-05,5.51056e-05,5.51056e-05
98,1971.04,1.41115,1.57006,1.8141,0.54375,0.39115,0.40798,0.17063,2.19832,2.17801,2.51943,4.41067e-05,4.41067e-05,4.41067e-05
99,1991.07,1.39981,1.57787,1.82065,0.54713,0.40554,0.40675,0.17398,2.21387,2.16335,2.53717,3.31078e-05,3.31078e-05,3.31078e-05
100,2010.56,1.37637,1.52253,1.803,0.54883,0.38867,0.40384,0.16703,2.22878,2.16002,2.53805,2.21089e-05,2.21089e-05,2.21089e-05
